"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"106","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-07-01,24779158.18,285699.466,514205.053,86.732,48.189,16.23,76.516
"107","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-08-01,21815525.22,249112.529,464277.974,87.573,46.988,16.912,76.75
"108","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-09-01,22653083.77,260941.362,478920.017,86.813,47.3,17.58,77.22
"109","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-10-01,19986358.05,223537.331,420715.266,89.409,47.506,15.117,77.104
"110","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-11-01,20797913.02,241223.155,423088.638,86.219,49.157,16.288,77.06
"111","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-12-01,39545017.79,476336.251,749923.378,83.019,52.732,26.308,78.435
"112","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2021-12-01,7102397.024,141692.029,280771.446,28.6498571428571,11.6644285714286,1.938,10.5723571428571
"113","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-01-01,6795428.347,134505.945,266974.401,28.8460714285714,11.076,1.9445,9.9215
"114","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-02-01,3829093.786,76504.43,156395.083,21.6409285714286,9.22614285714286,1.33957142857143,10.3557857142857
"115","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-03-01,4454745.733,85730.768,179886.113,21.5503571428571,9.212,1.19378571428571,10.4318571428571
"116","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-04-01,5915537.804,112563.566,242239.516,21.2566428571429,9.10542857142857,1.56578571428571,10.5732857142857
"117","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-05-01,5794815.402,112474.349,220665.222,29.4148571428571,11.9536428571429,1.34085714285714,10.013
"118","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-06-01,7548199.418,141102.671,305251.025,39.3521428571429,13.7375,2.1575,11.5767142857143
"119","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-07-01,9371641.676,176701.228,379405.051,39.3128571428571,13.6981428571429,2.40664285714286,11.9087857142857
"120","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-08-01,9799703.459,185756.276,394782.065,31.8693571428571,11.7017142857143,1.96307142857143,12.2582857142857
"121","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-09-01,10171851.576,196748.291,412767.923,32.0672857142857,11.7155,2.39692857142857,12.8400714285714
"122","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-10-01,9558495.283,180278.079,388655.661,40.0047142857143,13.7353571428571,2.2075,13.0769285714286
"123","Autoservicios Total Mexico_MT","MULTI-PACK","Sabores",2022-11-01,9587493.721,179863.902,386092.039,43.9382142857143,15.1862142857143,2.14592857142857,13.519
