"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"93","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-06-01,4711813.62,57017.597,113181.52,82.638,41.631,19.584,84.433
"94","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-07-01,5560087.134,66815.879,132447.823,83.215,41.979,23.091,85.056
"95","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-08-01,5333098.423,65028.017,129628.084,82.012,41.142,22.644,84.997
"96","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-09-01,5051025.748,62055.101,123393.089,81.396,40.934,21.52,85.087
"97","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-10-01,5107917.415,62317.035,123879.531,81.967,41.233,18.038,84.094
"98","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-11-01,4707266.176,54854.994,110350.215,85.813,42.658,19.048,83.428
"99","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-12-01,8579320.055,100852.959,199171.478,85.068,43.075,34.572,83.546
"100","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-01-01,8135391.882,94047.631,184646.821,86.503,44.059,27.46,82.475
"101","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-02-01,4074217.026,45283.442,91375.996,89.971,44.587,15.533,83.25
"102","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-03-01,4662014.063,50947.643,104140.815,91.506,44.766,17.392,82.691
"103","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-04-01,5717117.857,62652.56,127100.942,91.251,44.981,17.763,83.69
"104","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-05-01,5777533.455,62821.809,126211.807,91.967,45.776,21.28,83.904
"105","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-06-01,5381448.861,58810.797,117938.124,91.504,45.629,19.96,83.96
"106","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-07-01,6293278.011,67951.593,137425.935,92.614,45.794,19.233,85.76
"107","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-08-01,6323107.024,68420.208,138741.562,92.416,45.575,23.077,87.058
"108","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-09-01,5895371.808,63707.741,128943.87,92.538,45.72,21.513,86.772
"109","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-10-01,5749807.671,59030.476,120999.234,97.404,47.519,20.278,85.051
"110","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-11-01,4822112.209,49151.856,100897.111,98.106,47.792,16.898,84.67
"111","Autoservicios Area 1_MT","MULTI-PACK","COLA",2024-12-01,8209728.492,84177.243,168334.94,97.529,48.77,23.499,86.222
"112","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2021-12-01,1663661.321,30387.053,57642.485,12.7584545454545,5.86563636363636,1.872,6.762
"113","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-01-01,1884493.657,34501.32,65487.225,22.3724545454545,8.40127272727273,2.29863636363636,6.76354545454545
"114","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-02-01,765143.037,13795.522,26162.567,12.8241818181818,5.89845454545455,1.25445454545455,6.56263636363636
"115","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-03-01,869443.604,15690.297,29739.071,16.0194545454545,6.44127272727273,1.286,6.32981818181818
"116","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-04-01,1336912.665,24328.749,46123.307,12.7531818181818,5.86627272727273,1.67363636363636,6.64263636363636
"117","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-05-01,1625493.839,29688.547,56261.284,11.9666363636364,5.81272727272727,1.64927272727273,6.70945454545455
"118","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-06-01,1793591.574,32919.981,62571.157,32.924,10.7423636363636,2.30436363636364,7.21754545454545
"119","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-07-01,2426115.247,44878.221,86160.698,30.6843636363636,10.1580909090909,2.22145454545455,8.06036363636364
"120","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-08-01,2505347.894,45520.735,88527.637,21.3046363636364,7.22181818181818,1.69909090909091,9.35318181818182
"121","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-09-01,2438562.71,44128.998,85836.759,19.3856363636364,6.96954545454545,1.80445454545455,9.28790909090909
"122","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-10-01,2602305.779,46995.691,91791.797,34.8388181818182,11.3585454545455,1.96336363636364,10.2653636363636
"123","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-11-01,2485006.986,43908.674,86686.682,35.9506363636364,11.5176363636364,1.80390909090909,10.7371818181818
"124","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2022-12-01,4783874.192,85488.956,167283.84,27.1277272727273,9.32609090909091,3.19381818181818,11.7264545454545
"125","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-01-01,4844259.688,86601.504,169704.24,27.5256363636364,9.363,2.74409090909091,11.1945454545455
"126","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-02-01,2257451.793,38945.436,77340.955,36.4833636363636,11.753,1.82909090909091,10.863
"127","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-03-01,2694524.884,46782.313,93298.723,26.6600909090909,9.091,1.75627272727273,11.3542727272727
"128","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-04-01,3796689.373,65815.26,130346.233,32.9265454545455,11.3100909090909,2.45236363636364,11.515
"129","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-05-01,3733932.034,62723.079,124273.489,42.8649090909091,13.9359090909091,1.95509090909091,11.5937272727273
"130","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-06-01,3377847.486,57017.597,113181.52,33.2617272727273,11.4430909090909,2.09481818181818,11.5816363636364
"131","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-07-01,3993957.181,66832.201,132540.823,95.8242727272727,24.156,2.58018181818182,12.2388181818182
"132","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-08-01,3898122.755,65106.696,130090.622,110.117181818182,24.2519090909091,2.659,12.9834545454545
"133","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-09-01,3684137.981,62098.253,123647.078,119.420181818182,26.5652727272727,2.59627272727273,12.4379090909091
"134","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-10-01,3732034.716,62361.792,124109.661,101.231909090909,24.3686363636364,2.70163636363636,12.3744545454545
"135","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-11-01,3442029.105,54869.532,112487.147,110.318181818182,22.2798181818182,2.41990909090909,12.9036363636364
"136","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2023-12-01,6156095.637,100857.77,200809.31,117.080909090909,25.7662727272727,4.08027272727273,12.8481818181818
"137","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-01-01,5753458.717,93943.85,184748.685,111.673545454545,21.9770909090909,3.02627272727273,12.1580909090909
"138","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-02-01,2831408.983,44923.347,91559.286,112.165363636364,21.5551818181818,1.91754545454545,12.5602727272727
"139","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-03-01,3204214.429,50352.033,105591.496,51.6609090909091,10.6034545454545,2.06609090909091,13.2763636363636
"140","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-04-01,4006346.324,62234.167,130019.56,57.6003636363636,12.5324545454545,2.05163636363636,14.0023636363636
"141","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-05-01,4119516.727,62592.106,127323.359,53.5322727272727,10.6793636363636,2.20309090909091,12.833
"142","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-06-01,3827683.274,58599.343,118514.258,53.316,10.7101818181818,2.07481818181818,12.4034545454545
"143","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-07-01,4434377.787,67462.179,139641.511,49.3615454545454,9.32018181818182,1.95636363636364,13.2250909090909
"144","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-08-01,4440210.47,67871.322,141173.712,54.625,10.9525454545455,2.36827272727273,14.0553636363636
"145","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-09-01,4122994.79,63123.85,130991.853,50.3722727272727,9.34690909090909,2.18490909090909,14.1175454545455
"146","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-10-01,3962343.386,58366.847,123905.597,52.9396363636364,9.65263636363636,2.05236363636364,14.7236363636364
"147","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-11-01,3327422.585,48517.925,103509.446,53.0787272727273,9.65172727272727,1.71781818181818,14.3476363636364
"148","Autoservicios Area 1_MT","MULTI-PACK","Sabores",2024-12-01,5694296.59,83548.055,171122.389,53.3209090909091,9.77218181818182,2.31227272727273,14.5535454545455
"149","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2021-12-01,54.1,0.906,2.286,59.713,23.666,0.561,0.094
"150","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-01-01,71.071,0.931,2.429,76.338,29.259,0.34,0.078
"151","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-02-01,0,0,0,0,0,0,0
"152","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-03-01,19.24,0.352,1,54.659,19.24,0.312,0.024
"153","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-04-01,0,0,0,0,0,0,0
"154","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-05-01,137.92,1.761,4,78.319,34.48,0.649,0.075
"155","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-06-01,0,0,0,0,0,0,0
"156","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-07-01,135.455,2.642,7,51.27,19.351,1.169,0.095
"157","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-08-01,0,0,0,0,0,0,0
"158","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-09-01,39.255,0.881,2,44.557,19.628,0.756,0.035
"159","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-10-01,0,0,0,0,0,0,0
"160","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-11-01,39.95,0.528,1,75.663,39.95,0.453,0.044
"161","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2022-12-01,138.775,2.642,5,52.526,27.755,0.585,0.122
"162","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2023-01-01,11.026,0.252,0.286,43.754,38.552,1.313,0.005
"163","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2023-02-01,180.787,4.228,4.857,42.759,37.222,1.127,0.106
"164","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2023-03-01,9.504,0.453,0.857,20.98,11.09,0.467,0.016
"165","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2023-04-01,100.839,2.305,4.857,43.748,20.762,0.691,0.264
"166","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2023-05-01,96.121,1.906,5,50.431,19.224,0.983,0.084
"167","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2023-06-01,139.916,1.367,4.143,102.353,33.772,0.432,0.179
"168","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2023-07-01,0,0,0,0,0,0,0
"169","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2023-08-01,352.805,5.813,11,60.692,32.073,1.287,0.171
"170","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2023-09-01,80.948,1.007,1.429,80.385,56.647,0.605,0.084
"171","Autoservicios Area 1_MT","MULTI-PACK CRUZADO","COLA",2023-10-01,252.276,5.687,6.571,44.36,38.392,2.67,0.068
